Time,PM1.0,PM2.5,PM10
1707521671.658962,0,1,2
1707521672.6605797,0,1,2
1707521673.662139,1,2,3
1707521674.6636999,1,3,3
1707521675.6652825,1,3,3
1707521676.6677048,1,3,3
1707521677.6700993,1,2,3
1707521678.6725068,1,2,3
1707521679.6748285,1,2,3
1707521680.6779318,2,2,2
1707521681.68147,2,2,2
1707521682.6843617,2,2,2
1707521683.6871376,1,2,2
1707521684.6903899,0,1,1
1707521685.6935177,0,1,1
1707521686.6957717,0,1,1
1707521687.6980054,1,2,2
1707521688.7002428,1,2,2
1707521689.7024667,1,2,2
1707521690.7058082,1,2,2
1707521691.7080286,0,1,1
1707521692.7102132,1,1,1
1707521693.7124577,1,1,1
1707521694.7147884,2,2,2
1707521695.7172039,1,2,2
1707521696.7193568,1,2,2
1707521697.7216187,0,1,1
1707521698.723848,0,1,1
1707521699.7261848,0,1,1
1707521700.7285395,0,1,1
1707521701.7309763,1,2,2
